Unnamed: 0,Author,Book Name,imagePaths
0,Robert C. Martin,Clean Code,data/covers/0000001.jpg
1,Shigeru Miyamoto,The Legend of Zelda,data/covers/0000002.jpg
2,Steve Krug,"Don't Make Me Think, Revisited",data/covers/0000003.jpg
3,Douglas R. Hofstadter,"Godel, Escher, Bach",data/covers/0000004.jpg
4,Nick Bostrom,Superintelligence,data/covers/0000005.jpg
5,Jon Duckett,"Web Design with HTML, CSS, JavaScript and jQuery Set",data/covers/0000006.jpg
6,Gayle Laakmann McDowell,Cracking the Coding Interview,data/covers/0000007.jpg
7,David Thorne,The Internet is a Playground,data/covers/0000008.jpg
8,DanTDM,DanTDM: Trayaurus and the Enchanted Crystal,data/covers/0000009.jpg
9,Max Tegmark,Life 3.0,data/covers/0000010.jpg
10,Andrew Hodges,Alan Turing: The Enigma,data/covers/0000011.jpg
11,Andrew Hunt,The Pragmatic Programmer,data/covers/0000012.jpg
12,Cathy O'neil,Weapons of Math Destruction,data/covers/0000013.jpg
13,Cal Newport,Digital Minimalism,data/covers/0000014.jpg
14,Jon Duckett,HTML and CSS,data/covers/0000015.jpg
15,Robert C. Martin,Clean Architecture,data/covers/0000016.jpg
16,Erich Gamma,Design Patterns,data/covers/0000017.jpg
17,Robert C. Martin,The Clean Coder,data/covers/0000018.jpg
18,Blizzard,World Of Warcraft: Chronicle Volume 1,data/covers/0000019.jpg
19,Aurelien Geron,Hands-On Machine Learning with Scikit-Learn and TensorFlow,data/covers/0000020.jpg
20,Steve McConnell,Code Complete,data/covers/0000021.jpg
21,Eric Freeman,Head First Design Patterns,data/covers/0000022.jpg
22,Keith Ferrazzi,Never Eat Alone,data/covers/0000023.jpg
23,Nicholas Carr,The Shallows,data/covers/0000024.jpg
24,Andy Field,Discovering Statistics Using IBM SPSS Statistics,data/covers/0000025.jpg
25,Martin Kleppmann,Designing Data-Intensive Applications,data/covers/0000026.jpg
26,Julie Pallant,SPSS Survival Manual,data/covers/0000027.jpg
27,Charles Petzold,Code,data/covers/0000028.jpg
28,Douglas Crockford,JavaScript: The Good Parts,data/covers/0000029.jpg
29,Al Sweigart,Automate The Boring Stuff With Python,data/covers/0000030.jpg
30,Garrett Grolemund,R for Data Science,data/covers/0000031.jpg
31,Blizzard Entertainment,World Of Warcraft Chronicle Volume 2,data/covers/0000032.jpg
32,Frederick P. Brooks Jr.,The Mythical Man-Month,data/covers/0000033.jpg
33,Brian Christian,Algorithms to Live By,data/covers/0000034.jpg
34,Adam Lawrence,This is Service Design Doing,data/covers/0000035.jpg
35,Seth Godin,All Marketers are Liars,data/covers/0000036.jpg
36,Jason Schreier,"Blood, Sweat, and Pixels",data/covers/0000037.jpg
37,Pedro Domingos,The Master Algorithm,data/covers/0000038.jpg
38,Kathy Sierra,Head First Java,data/covers/0000039.jpg
39,Yoshua Bengio,Deep Learning,data/covers/0000040.jpg
40,Brian W. Kernighan,C Programming Language,data/covers/0000041.jpg
41,Susan Weinschenk,100 Things Every Designer Needs to Know About People,data/covers/0000042.jpg
42,Martin Fowler,Refactoring,data/covers/0000043.jpg
43,Joshua Bloch,Effective Java,data/covers/0000044.jpg
44,Mark Lutz,Python Pocket Reference,data/covers/0000045.jpg
45,Marty Neumeier,The Brand Gap,data/covers/0000046.jpg
46,Edward Snowden,Permanent Record,data/covers/0000047.jpg
47,Gareth James,An Introduction to Statistical Learning,data/covers/0000048.jpg
48,Jon Erickson,"Hacking: The Art Of Exploitation, 2nd Edition",data/covers/0000049.jpg
49,Blizzard Entertainment,World Of Warcraft Chronicle Volume 3,data/covers/0000050.jpg
50,Eric Matthes,Python Crash Course (2nd Edition),data/covers/0000051.jpg
51,Andreas Antonopoulos,Mastering Bitcoin 2e,data/covers/0000052.jpg
52,Foster Provost,Data Science for Business,data/covers/0000053.jpg
53,Gary Vaynerchuk,Crushing It!,data/covers/0000054.jpg
54,Aimee Song,"Capture Your Style:Transform Your Instagram Photos, Showcase Your",data/covers/0000055.jpg
55,Eric Evans,Domain-Driven Design,data/covers/0000056.jpg
56,Sam Newman,Building Microservices,data/covers/0000057.jpg
57,Nicole Forsgren,Accelerate,data/covers/0000058.jpg
58,Ash Maurya,Running Lean,data/covers/0000059.jpg
59,Nintendo USA,"Legend Of Zelda, The: Art & Artifacts",data/covers/0000060.jpg
60,Paul Davies,The Art of Horizon,data/covers/0000061.jpg
61,Nancy Duarte,slide:ology,data/covers/0000062.jpg
62,Ray Kurzweil,The Singularity is Near,data/covers/0000063.jpg
63,Jeff Patton,User Story Mapping,data/covers/0000064.jpg
64,Ryan Holiday,"Trust Me, I'm Lying",data/covers/0000065.jpg
65,Judea Pearl,The Book of Why,data/covers/0000066.jpg
66,Future Press,"Sekiro Shadows Die Twice, Official Game Guide",data/covers/0000067.jpg
67,The Sidemen,Sidemen: The Book,data/covers/0000068.jpg
68,CD Projekt Red,The World Of The Witcher,data/covers/0000069.jpg
69,Angela Nagle,Kill All Normies,data/covers/0000070.jpg
70,Scott Meyers,Effective Modern C++,data/covers/0000071.jpg
71,Richard E. Williams,The Animator's Survival Kit,data/covers/0000072.jpg
72,Kevin D. Mitnick,Ghost In The Wires,data/covers/0000073.jpg
73,Wes McKinney,"Python for Data Analysis, 2e",data/covers/0000074.jpg
74,Jeff Gothelf,"Lean UX, 2e",data/covers/0000075.jpg
75,Julia Ross,The Mood Cure,data/covers/0000076.jpg
76,David Airey,Logo Design Love,data/covers/0000077.jpg
77,Casey Hudson,The Art Of The Mass Effect Universe,data/covers/0000078.jpg
78,David Kushner,Masters Of Doom,data/covers/0000079.jpg
79,Sue Johnson,Hold Me Tight,data/covers/0000080.jpg
80,Luciano Ramalho,Fluent Python,data/covers/0000081.jpg
81,Seth Stephens-davidowitz,Everybody Lies,data/covers/0000082.jpg
82,Wizards RPG Team,Storm King's Thunder,data/covers/0000083.jpg
83,Camille Fournier,The Manager`s Path,data/covers/0000084.jpg
84,Kevin D. Mitnick,The Art of Deception,data/covers/0000085.jpg
85,Wizards RPG Team,Tales from the Yawning Portal,data/covers/0000086.jpg
86,Young Rewired State,"Get Coding! Learn HTML, CSS, and JavaScript and Build a Website, App, and Game",data/covers/0000087.jpg
87,Trevor Hastie,The Elements of Statistical Learning,data/covers/0000088.jpg
88,Kai-Fu Lee,AI Superpowers,data/covers/0000089.jpg
89,Duncan Clark,Alibaba,data/covers/0000090.jpg
90,Scott Kelby,"The Digital Photography Book, Part 3",data/covers/0000091.jpg
91,Andy Field,Discovering Statistics Using R,data/covers/0000092.jpg
92,Mark Lutz,Learning Python,data/covers/0000093.jpg
93,Martin Ford,The Rise of the Robots,data/covers/0000094.jpg
94,Stanley B. Lippman,C++ Primer,data/covers/0000095.jpg
95,Nick Bostrom,Superintelligence,data/covers/0000096.jpg
96,Zed A. Shaw,Learn Python 3 the Hard Way,data/covers/0000097.jpg
97,Lyssa Adkins,Coaching Agile Teams,data/covers/0000098.jpg
98,Joshua Bloch,Effective Java,data/covers/0000099.jpg
99,Alan Donovan,The Go Programming Language,data/covers/0000100.jpg
100,Michael Feathers,Working Effectively with Legacy Code,data/covers/0000101.jpg
101,Peter F. Drucker,"HBR's 10 Must Reads on Managing Yourself (with bonus article ""How Will You Measure Your Life?"" by Clayton M. Christensen)",data/covers/0000102.jpg
102,Tony Northrup,Tony Northrup's DSLR Book,data/covers/0000103.jpg
103,Naughty Dog Studios,The Art Of The Last Of Us,data/covers/0000104.jpg
104,Martin Fowler,Patterns of Enterprise Application Architecture,data/covers/0000105.jpg
105,Jason Briggs,Python For Kids,data/covers/0000106.jpg
106,Martin Fowler,Refactoring,data/covers/0000107.jpg
107,Harold Abelson,Structure and Interpretation of Computer Programs,data/covers/0000108.jpg
108,Jez Humble,Continuous Delivery,data/covers/0000109.jpg
109,Steve Krug,Rocket Surgery Made Easy,data/covers/0000110.jpg
110,Scott Kelby,"The Digital Photography Book, Part 2",data/covers/0000111.jpg
111,Yoshihito Isogawa,The Lego Technic Idea Book: Simple Machines,data/covers/0000112.jpg
112,Harvard Business Review,"HBR's 10 Must Reads on Strategy (including featured article ""What Is Strategy?"" by Michael E. Porter)",data/covers/0000113.jpg
113,Harvard Business Review,"HBR's 10 Must Reads on Leadership (with featured article ""What Makes an Effective Executive,"" by Peter F. Drucker)",data/covers/0000114.jpg
114,Nintendo,The Legend Of Zelda Encyclopedia,data/covers/0000115.jpg
115,Jeb Blount,Fanatical Prospecting,data/covers/0000116.jpg
116,Thomas H. Cormen,Introduction to Algorithms,data/covers/0000117.jpg
117,Don Tapscott,Blockchain Revolution,data/covers/0000118.jpg
118,Andrew Hodges,Alan Turing: The Enigma,data/covers/0000119.jpg
119,Scott Meyers,Effective C++,data/covers/0000120.jpg
120,Ellen Notbohm,Ten Things Every Child with Autism Wishes You Knew,data/covers/0000121.jpg
121,Tom DeMarco,Peopleware,data/covers/0000122.jpg
122,Dafydd Stuttard,The Web Application Hacker's Handbook,data/covers/0000123.jpg
123,Mojang AB,Minecraft Survival Sticker Book,data/covers/0000124.jpg
124,Jake Vanderplas,Python Data Science Handbook,data/covers/0000125.jpg
125,Betsy Beyer,Site Reliability Engineering,data/covers/0000126.jpg
126,James Lovelock,Novacene,data/covers/0000127.jpg
127,Kent Beck,Test Driven Development,data/covers/0000128.jpg
128,Tom Nichols,The Death of Expertise,data/covers/0000129.jpg
129,Carol Vorderman,Computer Coding Games for Kids,data/covers/0000130.jpg
130,Faith Erin Hicks,The Last Of Us: American Dreams,data/covers/0000131.jpg
131,Andreas M Antonopoulos,The Internet of Money,data/covers/0000132.jpg
132,Walt Stanchfield,Drawn to Life: 20 Golden Years of Disney Master Classes,data/covers/0000133.jpg
133,Walter Isaacson,Innovators,data/covers/0000134.jpg
134,Jon Duckett,JavaScript and JQuery,data/covers/0000135.jpg
135,Sam Harris,Letter to a Christian Nation,data/covers/0000136.jpg
136,Scott Kelby,"The Digital Photography Book, Part 4",data/covers/0000137.jpg
137,Laurens Valk,The Lego Mindstorms Ev3 Discovery Book,data/covers/0000138.jpg
138,Bjarne Stroustrup,The C++ Programming Language,data/covers/0000139.jpg
139,Christopher M. Bishop,Pattern Recognition and Machine Learning,data/covers/0000140.jpg
140,Daniel Goleman,"HBR's 10 Must Reads on Emotional Intelligence (with featured article ""What Makes a Leader?"" by Daniel Goleman)(HBR's 10 Must Reads)",data/covers/0000141.jpg
141,Duncan Clark,Alibaba,data/covers/0000142.jpg
142,James Kalbach,Mapping Experiences,data/covers/0000143.jpg
143,Stuart Russell,"Artificial Intelligence: A Modern Approach, Global Edition",data/covers/0000144.jpg
144,Jenny Odell,How To Do Nothing,data/covers/0000145.jpg
145,Erik Brynjolfsson,The Second Machine Age,data/covers/0000146.jpg
146,Michael Dawson,"Python Programming for the Absolute Beginner, Third Edition",data/covers/0000147.jpg
147,Amid Amidi,Art of Pixar: 25th Anniv,data/covers/0000148.jpg
148,Mary Aiken,The Cyber Effect,data/covers/0000149.jpg
149,Edward Snowden,Permanent Record,data/covers/0000150.jpg
150,Jez Humble,Lean Enterprise,data/covers/0000151.jpg
151,Mike Rohde,The Sketchnote Handbook,data/covers/0000152.jpg
152,Jaron Lanier,Ten Arguments For Deleting Your Social Media Accounts Right Now,data/covers/0000153.jpg
153,Nigel Bennett,Managing successful projects with PRINCE2,data/covers/0000154.jpg
154,Peter Bruce,Practical Statistics for Data Scientists,data/covers/0000155.jpg
155,Francois Chollet,Deep Learning with Python,data/covers/0000156.jpg
156,Adobe Creative Team,Adobe Photoshop CS6 Classroom in a Book,data/covers/0000157.jpg
157,Marty Neumeier,ZAG,data/covers/0000158.jpg
158,Harvard Business Review,"HBR's 10 Must Reads on Change Management (including featured article ""Leading Change,"" by John P. Kotter)",data/covers/0000159.jpg
159,Chelsea Monroe-cassel,The Elder Scrolls: The Official Cookbook,data/covers/0000160.jpg
160,John Kay,The Long and the Short of It (International edition),data/covers/0000161.jpg
161,Christie Golden,World of Warcraft: Thrall: Twilight of the Aspects,data/covers/0000162.jpg
162,Howard Mittelmark,How NOT to Write a Novel,data/covers/0000163.jpg
163,Kenneth S. Rubin,Essential Scrum,data/covers/0000164.jpg
164,Wladston Ferreira Filho,Computer Science Distilled,data/covers/0000165.jpg
165,Donald E. Knuth,"The Art of Computer Programming, Volumes 1-4A Boxed Set",data/covers/0000166.jpg
166,Kyle Simpson,You Don't Know JS - Up & Going,data/covers/0000167.jpg
167,Zed A. Shaw,Learn Python the Hard Way,data/covers/0000168.jpg
168,Sarah Guido,Introduction to Machine Learning with Python,data/covers/0000169.jpg
169,Bioware,The Art Of Dragon Age: Inquisition,data/covers/0000170.jpg
170,Hannah Fry,Hello World,data/covers/0000171.jpg
171,James Gleick,The Information,data/covers/0000172.jpg
172,David Flanagan,JavaScript: The Definitive Guide,data/covers/0000173.jpg
173,Sony Computer Entertainment,The Art Of God Of War,data/covers/0000174.jpg
174,Eric Topol,Deep Medicine,data/covers/0000175.jpg
175,Cliff Stoll,The Cuckoo's Egg,data/covers/0000176.jpg
176,George Berkowski,How to Build a Billion Dollar App,data/covers/0000177.jpg
177,Bryan Peterson,Understanding Close-Up Photography,data/covers/0000178.jpg
178,Blizzard Entertainment,Diablo III: Book of Tyrael,data/covers/0000179.jpg
179,Yoshihito Isogawa,The Lego Mindstorms Ev3 Idea Book,data/covers/0000180.jpg
180,Brian Christian,Algorithms to Live by,data/covers/0000181.jpg
181,Mike Cohn,User Stories Applied,data/covers/0000182.jpg
182,Wizards RPG Team,Dungeons & Dragons Guildmasters' Guide to Ravnica (D&d/Magic: The Gathering Adventure Book and Campaign Setting),data/covers/0000183.jpg
183,Gregor Hohpe,Enterprise Integration Patterns,data/covers/0000184.jpg
184,Nintendo,"Legend Of Zelda, The: Breath Of The Wild - Creating A Champion",data/covers/0000185.jpg
185,Steve Freeman,"Growing Object-Oriented Software, Guided by Tests",data/covers/0000186.jpg
186,Klaus Schwab,The Fourth Industrial Revolution,data/covers/0000187.jpg
187,Frank M. Ahearn,How to Disappear,data/covers/0000188.jpg
188,Brian F. Goetz,Java Concurrency in Practice,data/covers/0000189.jpg
189,Stephen Few,Information Dashboard Design,data/covers/0000190.jpg
190,Yoshihito Isogawa,The Lego Technic Idea Book: Fantastic Contraptions,data/covers/0000191.jpg
191,Bjarne Stroustrup,Programming,data/covers/0000192.jpg
192,Blizzard Entertainment,Overwatch: Anthology Volume 1,data/covers/0000193.jpg
193,Blizzard Entertainment,The Art Of Overwatch,data/covers/0000194.jpg
194,Karl Pilkington,The World of Karl Pilkington,data/covers/0000195.jpg
195,Nintendo,"Legend Of Zelda, The: Breath Of The Wild - Creating A Champion Hero's Edition",data/covers/0000196.jpg
196,Everett M. Rogers,"Diffusion of Innovations, 5th Edition",data/covers/0000197.jpg
197,Justin Seitz,Black Hat Python,data/covers/0000198.jpg
198,Richard E. Susskind,The Future of the Professions,data/covers/0000199.jpg
199,Kyle Simpson,You Don't Know JS : Scope and Closures,data/covers/0000200.jpg
200,Andrew Faulkner,Adobe Photoshop CC Classroom in a Book,data/covers/0000201.jpg
201,Vaughn Vernon,Implementing Domain-Driven Design,data/covers/0000202.jpg
202,Marijn Haverbeke,"Eloquent Javascript, 3rd Edition",data/covers/0000203.jpg
203,Mike Cohn,Agile Estimating and Planning,data/covers/0000204.jpg
204,Noam Nisan,The Elements of Computing Systems,data/covers/0000205.jpg
205,Nykolai Aleksander,Beginners Guide to Digital Painting in Photoshop Vol 1,data/covers/0000206.jpg
206,Sara Tasker,Hashtag Authentic,data/covers/0000207.jpg
207,James Barrat,Our Final Invention,data/covers/0000208.jpg
208,Ray Kurzweil,How to Create a Mind,data/covers/0000209.jpg
209,Esther Derby,Agile Retrospectives - Making Good Teams Great,data/covers/0000210.jpg
210,Catherine Price,How to Break Up With Your Phone,data/covers/0000211.jpg
211,Tom Ang,How to Photograph Absolutely Everything,data/covers/0000212.jpg
212,Roger Penrose,The Emperor's New Mind,data/covers/0000213.jpg
213,Marco Russo,The Definitive Guide to DAX,data/covers/0000214.jpg
214,Robert Nystrom,Game Programming Patterns,data/covers/0000215.jpg
215,Alan Cooper,About Face,data/covers/0000216.jpg
216,Gabriel Kirmaier,UX Bites - Small bites of information about User Experience Design,data/covers/0000217.jpg
217,Aditya Y. Bhargava,Grokking Algorithms,data/covers/0000218.jpg
218,Ben Forta,"SQL in 10 Minutes, Sams Teach Yourself",data/covers/0000219.jpg
219,Yoshihito Isogawa,The Lego Technic Idea Book: Wheeled Wonders,data/covers/0000220.jpg
220,Jane McGonigal,Reality is Broken,data/covers/0000221.jpg
221,Andy Brunning,Why Does Asparagus Make Your Wee Smell?,data/covers/0000222.jpg
222,A. Agrawal,Prediction Machines,data/covers/0000223.jpg
223,Dr. Simon Singh,The Code Book,data/covers/0000224.jpg
224,Yoshitaka Amano,The Sky: The Art of Final Fantasy,data/covers/0000225.jpg
225,Kim Zetter,Countdown To Zero Day,data/covers/0000226.jpg
226,Jurgen Appelo,Management 3.0,data/covers/0000227.jpg
227,Bethesda Softworks,The Skyrim Library,data/covers/0000228.jpg
228,David Watson,Cambridge IGCSE Computer Science,data/covers/0000229.jpg
229,Jessie James Garrett,The Elements of User Experience,data/covers/0000230.jpg
230,Joy Deangdeelert Cho,"Blog Inc Blogging for Passion, Profit, and to Create Community",data/covers/0000231.jpg
231,Wizards RPG Team,"Dungeons & Dragons Waterdeep: Dungeon of the Mad Mage (Adventure Book, D&d Roleplaying Game)",data/covers/0000232.jpg
232,John W. Foreman,Data Smart,data/covers/0000233.jpg
233,Michael Hyatt,Platform,data/covers/0000234.jpg
234,Jesse Schell,The Art of Game Design,data/covers/0000235.jpg
235,Paul Scharre,Army of None,data/covers/0000236.jpg
236,3dtotal Team,Beginner's Guide to Digital Painting: Characters,data/covers/0000237.jpg
237,Tracy Kidder,The Soul of a New Machine,data/covers/0000238.jpg
238,Avinash Kaushik,Web Analytics 2.0,data/covers/0000239.jpg
239,Bioware,Dragon Age: The World Of Thedas Volume 2,data/covers/0000240.jpg
240,Charles Petzold,The Annotated Turing,data/covers/0000241.jpg
241,David Bawden,Introduction to Information Science,data/covers/0000242.jpg
242,Paul Chiusano,Functional Programming in Scala,data/covers/0000243.jpg
243,Mike Hutchinson,Gaslands,data/covers/0000244.jpg
244,Tom Nichols,The Death of Expertise,data/covers/0000245.jpg
245,Ubisoft Entertainment,Tom Clancy's The Division,data/covers/0000246.jpg
246,Raph Koster,Theory of Fun for Game Design,data/covers/0000247.jpg
247,Michael Freeman,The Photographer's Eye Remastered 10th Anniversary,data/covers/0000248.jpg
248,David Beazley,Python Cookbook: No. 3,data/covers/0000249.jpg
249,Nintendo,Super Mario Encyclopedia,data/covers/0000250.jpg
250,Bethesda Softworks,The Art Of Fallout 4,data/covers/0000251.jpg
251,Jacques Ellul,The Technological Society,data/covers/0000252.jpg
252,Yoshihito Isogawa,The Lego Boost Idea Book,data/covers/0000253.jpg
253,Virginia Eubanks,Automating Inequality,data/covers/0000254.jpg
254,Henry Carroll,Read This if You Want to Be Instagram Famous,data/covers/0000255.jpg
255,Gojko Adzic,Impact Mapping,data/covers/0000256.jpg
256,Scott E. Page,The Model Thinker,data/covers/0000257.jpg
257,C. Todd Lombardo,Product Roadmaps Relaunched,data/covers/0000258.jpg
258,John Walkenbach,Excel 2016 Bible,data/covers/0000259.jpg
259,Michael Sikorski,Practical Malware Analysis,data/covers/0000260.jpg
260,Jean M. Twenge,iGen,data/covers/0000261.jpg
261,Hannah Fry,Hello World,data/covers/0000262.jpg
262,Future Press,Horizon Zero Dawn Collectors Edition Guide,data/covers/0000263.jpg
263,Kyle Simpson,You Don't Know JS - ES6 & Beyond,data/covers/0000264.jpg
264,Nikhil Abraham,Coding All-in-One For Dummies,data/covers/0000265.jpg
265,Anthony Dunne,Speculative Everything,data/covers/0000266.jpg
266,Scott Kelby,The Adobe Photoshop Lightroom CC Book for Digital Photographers,data/covers/0000267.jpg
267,Kyle Simpson,You Don't Know JS - This & Object Prototypes,data/covers/0000268.jpg
268,Steve S. Skiena,The Algorithm Design Manual,data/covers/0000269.jpg
269,Martin Rees,On the Future,data/covers/0000270.jpg
270,Scott Berkun,Making Things Happen,data/covers/0000271.jpg
271,Jaime Levy,UX Strategy,data/covers/0000272.jpg
272,Linda Sunshine,The Art of How to Train Your Dragon,data/covers/0000273.jpg
273,Peter Kim,The Hacker Playbook 2,data/covers/0000274.jpg
274,Stationery Office,ITIL foundation handbook,data/covers/0000275.jpg
275,Marcos Lopez de Prado,Advances in Financial Machine Learning,data/covers/0000276.jpg
276,David Airey,"Work for Money, Design for Love",data/covers/0000277.jpg
277,Erik Brynjolfsson,The Second Machine Age,data/covers/0000278.jpg
278,Evi Nemeth,UNIX and Linux System Administration Handbook,data/covers/0000279.jpg
279,,Terraria: Hardmode Survival Handbook,data/covers/0000280.jpg
280,Lisa Crispin,Agile Testing,data/covers/0000281.jpg
281,Andy Rathbone,"Windows 7 For Dummies, Book + DVD Bundle",data/covers/0000282.jpg
282,Brian Ward,"How Linux Works, 2nd Edition",data/covers/0000283.jpg
283,Gayle Laakmann McDowell,Cracking the PM Interview,data/covers/0000284.jpg
284,Kai Strittmatter,We have been harmonised,data/covers/0000285.jpg
285,Walt Stanchfield,Drawn to Life: 20 Golden Years of Disney Master Classes,data/covers/0000286.jpg
286,Chelsea Monroe-cassel,World of Warcraft: The Official Cookbook,data/covers/0000287.jpg
287,Martin Vargic,Vargic's Miscellany of Curious Maps,data/covers/0000288.jpg
288,James Cadle,Business Analysis,data/covers/0000289.jpg
289,Kevin D. Mitnick,The Art of Intrusion,data/covers/0000290.jpg
290,Greg Harvey,Excel 2016 All-in-One For Dummies,data/covers/0000291.jpg
291,Richard S. Sutton,Reinforcement Learning,data/covers/0000292.jpg
292,Amy Webb,The Big Nine,data/covers/0000293.jpg
293,Dona M. Wong,The Wall Street Journal Guide to Information Graphics,data/covers/0000294.jpg
294,Greg Harvey,Excel 2010 For Dummies,data/covers/0000295.jpg
295,Tien Tzuo,Subscribed,data/covers/0000296.jpg
296,Ulrik Pilegaard,Forbidden Lego,data/covers/0000297.jpg
297,Rob Collie,Power Pivot and Power Bi,data/covers/0000298.jpg
298,Wendell Odom,CCNA Routing and Switching 200-125 Official Cert Guide Library,data/covers/0000299.jpg
299,John Stamper,AWS Certified Solutions Architect Official Study Guide,data/covers/0000300.jpg
300,Scott Kelby,"Light It, Shoot It, Retouch It",data/covers/0000301.jpg
301,Daniel Drescher,Blockchain Basics,data/covers/0000302.jpg
302,Patrick McNeil,The Web Designer's Idea Book Volume 2,data/covers/0000303.jpg
303,Roman Pichler,Agile Product Management with Scrum,data/covers/0000304.jpg
304,Paul Graham,Hackers & Painters,data/covers/0000305.jpg
305,Massimo Banzi,Getting Started with Arduino,data/covers/0000306.jpg
306,Kevin P. Murphy,Machine Learning,data/covers/0000307.jpg
307,Liz Gallacher,ITIL Foundation Exam Study Guide,data/covers/0000308.jpg
308,David Pagano,The Lego Animation Book,data/covers/0000309.jpg
309,Lawrence Levy,To Pixar and Beyond,data/covers/0000310.jpg
310,V. Tethras,Dragon Age: Hard In Hightown,data/covers/0000311.jpg
311,Paul Teetor,R Cookbook,data/covers/0000312.jpg
312,Bryan Peterson,Bryan Peterson's Understanding Photography Field Guide,data/covers/0000313.jpg
313,Hans Bacher,Dream Worlds: Production Design for Animation,data/covers/0000314.jpg
314,Fritjof Capra,The Systems View of Life,data/covers/0000315.jpg
315,Kyle Simpson,You Don't Know JS - Async & Performance,data/covers/0000316.jpg
316,Jessica Livingston,Founders at Work,data/covers/0000317.jpg
317,Ramin Zahed,"Art of DreamWorks Animation, The",data/covers/0000318.jpg
318,Mike Cohn,Succeeding with Agile,data/covers/0000319.jpg
319,3DTotal.com,Digital Painting Techniques,data/covers/0000320.jpg
320,Eileen Ormsby,Darkest Web,data/covers/0000321.jpg
321,Bruce Schneier,Data and Goliath,data/covers/0000322.jpg
322,Tim Bogenn,Assassin's Creed Odyssey,data/covers/0000323.jpg
323,Editors of Rock Point,Internet Password Logbook (Cognac Leatherette),data/covers/0000324.jpg
324,Kyle Simpson,You Don't Know JS - Types & Grammar,data/covers/0000325.jpg
325,Unknown,Terraria: The Ultimate Survival Handbook,data/covers/0000326.jpg
326,George Gilder,Life After Google,data/covers/0000327.jpg
327,Chris Burniske,Cryptoassets: The Innovative Investor's Guide to Bitcoin and Beyond,data/covers/0000328.jpg
328,Jeff Hawkins,On Intelligence,data/covers/0000329.jpg
329,Peter Seibel,Coders at Work,data/covers/0000330.jpg
